plan_code,train_status,service,am_peak,am_peak_message,pm_peak,pm_peak_message,off_peak,off_peak_message
GE09,running,Greater Anglia,2,Greater Anglia Service,2,Greater Anglia Service,2,Greater Anglia Service
GE09,running,Freight,,,,,1,Path each direction per hour
GE10,running,Greater Anglia,2,Greater Anglia Service,2,Greater Anglia Service,2,Greater Anglia Service
GE10,running,Freight,,,,,1,Path each direction per hour
GE11,running,Greater Anglia,4,Greater Anglia Service,4,Greater Anglia Service,4,Greater Anglia Service
GE11,running,Freight,,,,,1,Path each direction per hour
GE12,running,Greater Anglia,1,Greater Anglia Service,1,Greater Anglia Service,1,Greater Anglia Service
GE12,running,Freight,,,,,1,"Path each direction per hour <Freight to be diverted via London where possible.,>"
GE13,running,Greater Anglia,All,Greater Anglia Service,All,Greater Anglia Service,All,Greater Anglia Service
GE14,running,Greater Anglia,All,Greater Anglia Service,All,Greater Anglia Service,All,Greater Anglia Service
GE09,amended,Greater Anglia,1,Greater Anglia Colchester Shuttle--<Operates Liverpool Street - Colchester>,1,Greater Anglia Colchester Shuttle--<Operates Liverpool Street - Colchester>,1,Greater Anglia Colchester Shuttle--<Operates Liverpool Street - Colchester>
GE10,amended,Greater Anglia,1,Greater Anglia Colchester Shuttle--<Operates Liverpool Street - Colchester>,1,Greater Anglia Colchester Shuttle--<Operates Liverpool Street - Colchester>,1,Greater Anglia Colchester Shuttle--<Operates Liverpool Street - Colchester>
GE12,amended,Greater Anglia,1,"Greater Anglia Cambridge - Ipswich Service--<Operates as Cambridge - Stowmarket Shuttle where possible, however if Stowmarket unavailable, Shuttle to Bury St Edmunds only.>",1,"Greater Anglia Cambridge - Ipswich Service--<Operates as Cambridge - Stowmarket Shuttle where possible, however if Stowmarket unavailable, Shuttle to Bury St Edmunds only.>",1,"Greater Anglia Cambridge - Ipswich Service--<Operates as Cambridge - Stowmarket Shuttle where possible, however if Stowmarket unavailable, Shuttle to Bury St Edmunds only.>"
GE12,amended,Greater Anglia,1,Greater Anglia Ipswich Shuttle--<Operates as Liverpool Street - Ipswich>,1,Greater Anglia Ipswich Shuttle--<Operates as Liverpool Street - Ipswich>,1,Greater Anglia Ipswich Shuttle--<Operates as Liverpool Street - Ipswich>
GE13,amended,Greater Anglia,1,Greater Anglia Colchester Shuttle--<Opertates Norwich - Colchester Shuttle>,1,Greater Anglia Colchester Shuttle--<Opertates Norwich - Colchester Shuttle>,1,Greater Anglia Colchester Shuttle--<Opertates Norwich - Colchester Shuttle>
GE14,amended,Greater Anglia,1,Greater Anglia Colchester Shuttle--<Opertates Norwich - Colchester Shuttle>,1,Greater Anglia Colchester Shuttle--<Opertates Norwich - Colchester Shuttle>,1,Greater Anglia Colchester Shuttle--<Opertates Norwich - Colchester Shuttle>
GE09,cancelled,Greater Anglia,0,Greater Anglia Service,0,Greater Anglia Service,0,Greater Anglia Service
GE10,cancelled,Greater Anglia,0,Greater Anglia Service,0,Greater Anglia Service,0,Greater Anglia Service
GE12,cancelled,Greater Anglia,0,Greater Anglia Service,0,Greater Anglia Service,0,Greater Anglia Service
GE13,cancelled,Greater Anglia,0,Greater Anglia Service,0,Greater Anglia Service,0,Greater Anglia Service
GE14,cancelled,Greater Anglia,0,Greater Anglia Service,0,Greater Anglia Service,0,Greater Anglia Service
GE22,running,Greater Anglia,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident
GE23,running,Greater Anglia,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident
GE23,running,Freight,,,,,1,"Freight
Path each direction per hour"
GE24,running,Greater Anglia,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident
GE24A,running,Greater Anglia,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident
GE25,running,Greater Anglia,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident
GE26,running,Greater Anglia,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident,All,Anglia services that are unaffected by this incident
GE22,amended,Greater Anglia,2,Greater Anglia G/E Service--<Operates Norwich - Manningtree>,2,Greater Anglia G/E Service--<Operates Norwich - Manningtree>,2,Greater Anglia G/E Service--<Operates Norwich - Manningtree>
GE22,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Colchester>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Colchester>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Colchester>
GE23,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Mannningtree>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Mannningtree>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Mannningtree>
GE23,amended,Greater Anglia,2,Greater Anglia Ipswich Shuttle--<Operates as Norwich - Ipswich Shuttle>,2,Greater Anglia Ipswich Shuttle--<Operates as Norwich - Ipswich Shuttle>,2,Greater Anglia Ipswich Shuttle--<Operates as Norwich - Ipswich Shuttle>
GE24,amended,Greater Anglia,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Stowmarket>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Stowmarket>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Stowmarket>
GE24,amended,Greater Anglia,1,Greater Anglia G/E Service--<Operates Stowmarket - Peterborough>,1,Greater Anglia G/E Service--<Operates Stowmarket - Peterborough>,1,Greater Anglia G/E Service--<Operates Stowmarket - Peterborough>
GE24,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>
GE24A,amended,Greater Anglia,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>
GE24A,amended,Greater Anglia,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>
GE24A,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>
GE25,amended,Greater Anglia,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>
GE25,amended,Greater Anglia,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>
GE25,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>
GE26,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Diss>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Diss>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Diss>
GE22,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE23,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE24,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE24A,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE25,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE26,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>